iter	RMSE
0	0.3155795163
1	0.305112354
2	0.2952737628
3	0.286927506
4	0.278018967
5	0.2694499148
6	0.2615658724
7	0.2535167158
8	0.2463956819
9	0.2397074454
10	0.2341572015
11	0.2289652928
12	0.2236035443
13	0.2187690607
14	0.2138091167
15	0.2089242817
16	0.2043745047
17	0.1998079125
18	0.1957999845
19	0.1923289825
20	0.188555961
21	0.185023706
22	0.1818101331
23	0.1787853285
24	0.1759316124
25	0.1735710354
26	0.1709567975
27	0.1686263083
28	0.1665608626
29	0.1644372626
30	0.1621559962
31	0.1602618745
32	0.1580523664
33	0.156600039
34	0.155164933
35	0.153708019
36	0.1523505049
37	0.1508707772
38	0.1495269896
39	0.1483440202
40	0.1469722744
41	0.145580454
42	0.1445554167
43	0.143538366
44	0.1424784599
45	0.1414181734
46	0.1404170775
47	0.139443473
48	0.1385640416
49	0.1378331911
50	0.1371565493
51	0.1364653019
52	0.1359736273
53	0.1352371349
54	0.1345907314
55	0.1339316355
56	0.1335014466
57	0.1329992566
58	0.1324290926
59	0.1318460627
60	0.1311083
61	0.1306512822
62	0.1302570648
63	0.1297260193
64	0.1293778669
65	0.1289520974
66	0.1286299031
67	0.1281988927
68	0.1278438311
69	0.1273351801
70	0.1270253122
71	0.1266448891
72	0.1261931589
73	0.1259173683
74	0.1254579263
75	0.1250723826
76	0.1248474256
77	0.1244299791
78	0.1241057767
79	0.1239412314
80	0.1236291635
81	0.1233960076
82	0.1231985437
83	0.1229534018
84	0.1226958026
85	0.12254181
86	0.1222027487
87	0.1220232034
88	0.1218344148
89	0.1216051026
90	0.1214856479
91	0.1213410483
92	0.121177659
93	0.1209226811
94	0.1206773103
95	0.1204810048
96	0.1203395166
97	0.1202147327
98	0.1198729063
99	0.1197320281
100	0.1195878262
101	0.1194279333
102	0.1192580399
103	0.1190014179
104	0.1188893856
105	0.1187557125
106	0.118560942
107	0.1182789851
108	0.1181592899
109	0.1179847341
110	0.117706057
111	0.1173941072
112	0.117127268
113	0.1167830455
114	0.1166304589
115	0.1164029332
116	0.1161918806
117	0.1160593536
118	0.1159387267
119	0.1158708201
120	0.1157070038
121	0.1155305453
122	0.1153502176
123	0.1152088651
124	0.115036414
125	0.1149569216
126	0.1147174449
127	0.1146442695
128	0.1143613743
129	0.1142084174
130	0.1140650192
131	0.1139254681
132	0.1135393639
133	0.1133714004
134	0.1132148271
135	0.1131040328
136	0.1129773552
137	0.1128118472
138	0.1126006432
139	0.112481635
140	0.1121844419
141	0.1120019744
142	0.1118723101
143	0.1117907421
144	0.1116534742
145	0.1114968518
146	0.1112617795
147	0.1111519133
148	0.1110706499
149	0.1108782515
150	0.1106838639
151	0.110547842
152	0.1104457251
153	0.1103018739
154	0.110078023
155	0.1099303942
156	0.109776987
157	0.1097181174
158	0.1096619038
159	0.1095208295
160	0.1093768101
161	0.1092265624
162	0.1091550858
163	0.1089215351
164	0.1087369216
165	0.108431695
166	0.1082333891
167	0.1081132021
168	0.1079255967
169	0.1078272562
170	0.1076739043
171	0.1074871447
172	0.1073911344
173	0.1072019271
174	0.1071358196
175	0.1069645169
176	0.1068835171
177	0.1067051701
178	0.1066175541
179	0.1064438785
180	0.106333136
181	0.1061399562
182	0.106073471
183	0.1059197151
184	0.1058071332
185	0.1056285594
186	0.1055725241
187	0.1053717586
188	0.1052200944
189	0.1051526318
190	0.105093206
191	0.1049663991
192	0.1048897484
193	0.1048320171
194	0.1047869502
195	0.1046464121
196	0.1044657677
197	0.1044092259
198	0.1042957946
199	0.1042837156
200	0.1042395587
201	0.1041974042
202	0.1040018377
203	0.1038888308
204	0.103767549
205	0.1036909373
206	0.103527481
207	0.1033576486
208	0.1032491417
209	0.103175789
210	0.1030556757
211	0.1030529153
212	0.1029546025
213	0.1028064567
214	0.1026432475
215	0.1026076605
216	0.1025058218
217	0.102457898
218	0.1023006322
219	0.1021090356
220	0.1018627154
221	0.1018201158
222	0.1015837554
223	0.1015185162
224	0.101329157
225	0.1012439385
226	0.1010818671
227	0.1010102813
228	0.1007944515
229	0.1005768125
230	0.1004926061
231	0.1003335515
232	0.1001761007
233	0.1000302591
234	0.09980695993
235	0.09980438921
236	0.09967820767
237	0.09951327184
238	0.09938127756
239	0.09935292411
240	0.09926707134
241	0.09902654084
242	0.09896057781
243	0.09890163381
244	0.09868242834
245	0.09862484872
246	0.0986036825
247	0.09852460207
248	0.09836133129
249	0.09819510202
250	0.09803868717
251	0.09796145643
252	0.09782688785
253	0.09776240857
254	0.09772642826
255	0.09761436118
256	0.09746290936
257	0.09736104852
258	0.09718502857
259	0.09702511935
260	0.09697779179
261	0.09686297164
262	0.09679811643
263	0.09664674412
264	0.09654633487
265	0.09643140335
266	0.0962395045
267	0.09622009548
268	0.09614715607
269	0.09608950249
270	0.09599973083
271	0.09586518864
272	0.0957390374
273	0.09566110157
274	0.09552346375
275	0.09542007887
276	0.09541382293
277	0.09537960491
278	0.09522934783
279	0.09513979725
280	0.09506351671
281	0.09501320244
282	0.09491539912
283	0.09487320465
284	0.09480605738
285	0.09469729067
286	0.09467493857
287	0.09455790232
288	0.0944778146
289	0.09439684672
290	0.09428427631
291	0.09413258983
292	0.09406442144
293	0.0940198806
294	0.09398378571
295	0.09387677554
296	0.09380669955
297	0.09369472197
298	0.09364393296
299	0.09359909157
300	0.09346206551
301	0.09335415314
302	0.09332234743
303	0.0932012754
304	0.09308980183
305	0.0930394804
306	0.09293687845
307	0.09284171327
308	0.09275646902
309	0.09267674519
310	0.09262037175
311	0.09254968121
312	0.09246311444
313	0.09233601047
314	0.09225535754
315	0.09221253838
316	0.0920933165
317	0.09200206451
318	0.09191903059
319	0.09178834879
320	0.09169164204
321	0.09156721415
322	0.09146839005
323	0.0913458896
324	0.09131772599
325	0.09120934799
326	0.09110833909
327	0.09103485245
328	0.09096043826
329	0.09089329163
330	0.0908010018
331	0.09071620103
332	0.09062757944
333	0.09057270815
334	0.09051281354
335	0.0903633394
336	0.09034427424
337	0.09028608534
338	0.09021241969
339	0.09012042989
340	0.09004693017
341	0.08988228973
342	0.08980787525
343	0.08969935404
344	0.0896556789
345	0.08954584101
346	0.08946618359
347	0.08939538036
348	0.08936128311
349	0.08932249007
350	0.08928402297
351	0.08920198014
352	0.08911918138
353	0.08910126111
354	0.08904345505
355	0.0890080519
356	0.08894949379
357	0.08889899099
358	0.08874660203
359	0.08870541958
360	0.08857390262
361	0.08850741569
362	0.08843705614
363	0.08833093067
364	0.08829329295
365	0.08824257015
366	0.08818278777
367	0.08812272008
368	0.08804117866
369	0.08796942988
370	0.0878947521
371	0.08783109853
372	0.08772692994
373	0.08768251253
374	0.08753658031
375	0.08751449618
376	0.08738576421
377	0.08730487543
378	0.08725889435
379	0.08719063822
380	0.08715424582
381	0.08709178661
382	0.08699994013
383	0.08693627724
384	0.08686978629
385	0.08683415339
386	0.08677864396
387	0.08664974089
388	0.08653439122
389	0.08647497464
390	0.08639978023
