iter	RMSE
0	0.2716223835
1	0.2650889665
2	0.2597431145
3	0.2548805579
4	0.2495742027
5	0.2440242931
6	0.2390891007
7	0.2344963015
8	0.2305964785
9	0.2258191017
10	0.2210484408
11	0.2176914736
12	0.2163876001
13	0.2120362608
14	0.2081765903
15	0.2049133672
16	0.2009381409
17	0.1983811547
18	0.1952591018
19	0.1924283006
20	0.1896980182
21	0.1876439657
22	0.1846211702
23	0.1821668449
24	0.1794496511
25	0.1772284767
26	0.1753495581
27	0.1735867913
28	0.1709973723
29	0.1693143469
30	0.1678391119
31	0.1662993591
32	0.1647617003
33	0.1629668918
34	0.1617146305
35	0.1597560277
36	0.1582363572
37	0.1564661944
38	0.1551141306
39	0.1536713171
40	0.1526070286
41	0.1519660715
42	0.1507125371
43	0.1496258294
44	0.1488481859
45	0.1479708838
46	0.1471798346
47	0.1459654014
48	0.1451512079
49	0.1443843766
50	0.143635835
51	0.1425557026
52	0.1419030333
53	0.1407132038
54	0.1399197464
55	0.1392261582
56	0.1381487217
57	0.1372491655
58	0.136491618
59	0.1363640334
60	0.1362617953
61	0.1355125584
62	0.1348306347
63	0.1343510491
64	0.1338992455
65	0.1335270584
66	0.132733358
67	0.132301982
68	0.1317231082
69	0.1312857532
70	0.1309553324
71	0.1306287509
72	0.1303921188
73	0.1301660322
74	0.129714617
75	0.1289225284
76	0.1285882806
77	0.1282022678
78	0.1278438735
79	0.1274480178
80	0.1270725304
81	0.1269745698
82	0.1268401357
83	0.1264859348
84	0.1261000984
85	0.1258484112
86	0.1255032795
87	0.1251848848
88	0.1250931301
89	0.1249756903
90	0.1248822813
91	0.1245443137
92	0.1241622417
93	0.1238746983
94	0.1237007241
95	0.1233624907
96	0.1232290321
97	0.1230282762
98	0.1228317544
99	0.1226042278
100	0.1224974445
101	0.1221946062
102	0.1220456782
103	0.1218991371
104	0.1218099861
105	0.1216945015
106	0.1216054038
107	0.1214729811
108	0.1213300474
109	0.1210137709
110	0.1209599731
111	0.1205948807
112	0.1204269713
113	0.1202394967
114	0.120127365
115	0.119944981
116	0.119944968
117	0.1197643664
118	0.1197643524
119	0.1196709175
120	0.1195941512
121	0.1193126686
122	0.1192928656
123	0.1191232157
124	0.1190128241
125	0.1189675958
126	0.1188925439
127	0.1187631164
128	0.1186117054
129	0.1184581381
130	0.1182998787
131	0.1182279463
132	0.1181198981
133	0.1180061546
134	0.1177939157
135	0.1176812503
136	0.1174448998
137	0.1173153395
138	0.1171517853
139	0.1170605063
140	0.1169761779
141	0.116799406
142	0.1165683731
143	0.1164409029
144	0.116284123
145	0.1160083644
146	0.1159411831
147	0.1157410105
148	0.1155271441
149	0.1154577466
150	0.1153152859
151	0.1152304099
152	0.1150073926
153	0.1148448503
154	0.114840436
155	0.1145679781
156	0.114530605
157	0.1144392047
158	0.1143444815
159	0.1142003446
160	0.1139920504
161	0.1138572076
162	0.1138220928
163	0.1137324589
164	0.1135605534
165	0.1133880446
166	0.1132272252
167	0.1131269141
168	0.1131192182
169	0.1129683248
170	0.1127718539
171	0.1126347585
172	0.1124635859
173	0.1122422282
174	0.112056306
175	0.111849868
176	0.1117516254
177	0.1116027606
178	0.1114775846
179	0.1110819494
180	0.1108320928
181	0.1106542124
182	0.110512148
183	0.1104218363
184	0.110182321
185	0.1099102626
186	0.1097096083
187	0.1092979366
188	0.1090973481
189	0.108951648
190	0.1087940673
191	0.1084742915
192	0.1082478801
193	0.1079195319
194	0.1076794334
195	0.1074099666
196	0.1071723058
197	0.106990925
198	0.1068143086
199	0.1065796708
200	0.1063506827
201	0.1060426189
202	0.1058120428
203	0.1055393342
204	0.1053207901
205	0.1050660517
206	0.1049243692
207	0.10474558
208	0.1045484641
209	0.1043539103
210	0.1041270498
211	0.1038464114
212	0.1035302158
213	0.1033495101
214	0.1030965045
215	0.1028954779
216	0.1026158013
217	0.1023912234
218	0.1022515725
219	0.102139501
220	0.1018910705
221	0.1017402793
222	0.1016481794
223	0.1014743516
224	0.1013391948
225	0.1010619316
226	0.1008213617
227	0.1006067879
