iter	RMSE
0	0.3153835566
1	0.3054267665
2	0.2955327159
3	0.2864148265
4	0.2780132178
5	0.2693812534
6	0.2621655297
7	0.25450203
8	0.2479250403
9	0.2413551143
10	0.2356869448
11	0.2304416378
12	0.2261130914
13	0.2215592508
14	0.2169031762
15	0.2126430803
16	0.2082820871
17	0.2045117294
18	0.2005639335
19	0.1973417501
20	0.1943162967
21	0.1908861414
22	0.1876426364
23	0.1840095104
24	0.181203699
25	0.1785082563
26	0.1760762397
27	0.1738857048
28	0.1716715116
29	0.16951098
30	0.1678587052
31	0.1659499628
32	0.1642393098
33	0.1621136184
34	0.1606841827
35	0.1591158634
36	0.1575655564
37	0.1561387066
38	0.1549453909
39	0.1538082767
40	0.1530651419
41	0.1519705137
42	0.1510313568
43	0.1500379939
44	0.1491120273
45	0.148207438
46	0.1473710278
47	0.1466772256
48	0.1458214904
49	0.1452165449
50	0.1445670088
51	0.1438934054
52	0.1433440771
53	0.14258548
54	0.1416990519
55	0.1409205093
56	0.1401741279
57	0.1396590269
58	0.1391881352
59	0.1388154845
60	0.1383210449
61	0.1377955728
62	0.1371824266
63	0.1369283153
64	0.1364334475
65	0.1358774812
66	0.1354833106
67	0.1352033851
68	0.1346579206
69	0.1342869427
70	0.1340536909
71	0.1337071644
72	0.1335078709
73	0.1332071377
74	0.1329663474
75	0.1325661789
76	0.1321370333
77	0.1317415222
78	0.1314949976
79	0.1310745588
80	0.1307175526
81	0.1304868847
82	0.1299704539
83	0.129645094
84	0.1294220147
85	0.1291998894
86	0.1287851868
87	0.1285055506
88	0.1282445342
89	0.1281107777
90	0.1278430773
91	0.1275974031
92	0.1275180278
93	0.1273377392
94	0.1270394538
95	0.1269613178
96	0.1268223013
97	0.1264623928
98	0.1263414863
99	0.1261613312
100	0.1258553477
101	0.1256364255
102	0.1254128014
103	0.1251296233
104	0.1249833212
105	0.1246903202
106	0.1244331054
107	0.1242607382
108	0.124061195
109	0.12389387
110	0.1236324451
111	0.1235036184
112	0.1233186175
113	0.1231189404
114	0.1229654962
115	0.1227207089
116	0.1225810554
117	0.1224469923
118	0.1223284858
119	0.1222320065
120	0.1220941338
121	0.1220251863
122	0.1219037555
123	0.1217939111
124	0.1216001613
125	0.1214712284
126	0.1212034439
127	0.1210473658
128	0.1209103917
129	0.1208108073
130	0.1205447101
131	0.1203202768
132	0.1200827729
133	0.1198779578
134	0.1197356402
135	0.119508745
136	0.1193379997
137	0.119121094
138	0.1189073262
139	0.1187788045
140	0.1186431068
141	0.1184945403
142	0.1183632222
143	0.1181364808
144	0.1180557091
145	0.1178355829
146	0.1175776756
147	0.1173930061
148	0.1172523067
149	0.1170868355
150	0.1169094922
151	0.1167861254
152	0.1166070535
153	0.116451352
154	0.1162980807
155	0.1160917856
156	0.1159192883
157	0.1157619405
158	0.1156137955
159	0.115518323
160	0.1153192875
161	0.1151086266
162	0.1148940029
163	0.1148031703
164	0.1145974495
165	0.11445536
166	0.1143704567
167	0.1143193004
168	0.114179323
169	0.1140990473
170	0.1138780254
171	0.1137325221
172	0.1135323361
173	0.113435676
174	0.1132716862
175	0.1130979972
176	0.1128726682
177	0.1127398825
178	0.1126594224
179	0.1125052601
180	0.1123316144
181	0.1122047041
182	0.1120307219
183	0.1118222111
184	0.1116709194
185	0.1115158207
186	0.1113621009
187	0.1112154847
188	0.1111172029
189	0.1110398057
190	0.1109919034
191	0.1107994176
192	0.1106643974
193	0.1104560522
194	0.1102740672
195	0.1101371153
196	0.1099750095
197	0.109815269
198	0.1096293359
199	0.1095165462
200	0.1093621849
201	0.1091946492
202	0.1090725286
203	0.1089213081
204	0.108794186
205	0.1086874213
206	0.1085883283
207	0.1085249114
208	0.1084523684
209	0.1083482162
210	0.1082089604
211	0.1080485431
212	0.1079271659
213	0.1078398115
214	0.1077217022
215	0.1076559503
216	0.1074922763
217	0.1073309574
218	0.1071527847
219	0.1070252021
220	0.1068921417
221	0.1067344642
222	0.1066030383
223	0.1065297539
224	0.1064377157
225	0.1062737957
226	0.1061651388
227	0.1060719181
228	0.1059654725
229	0.1058239202
230	0.1056804551
231	0.1055775372
232	0.1054875059
233	0.1053989773
234	0.105247379
235	0.1051442636
236	0.1050037923
237	0.1048655343
238	0.1047221861
239	0.1046074981
240	0.1045309511
241	0.1044162518
242	0.1042476713
243	0.1041324317
244	0.1040058934
245	0.1038763177
246	0.1037907094
247	0.1036796559
248	0.1035237826
249	0.1034614807
250	0.103351812
251	0.1032546283
252	0.103149432
253	0.1030358755
254	0.102983953
255	0.1028467421
256	0.1027796986
257	0.1026932105
258	0.102633211
259	0.1024303652
260	0.1023469363
261	0.1022515162
262	0.1020863064
263	0.1019539619
264	0.1018455134
265	0.1017436609
266	0.1016628152
267	0.1015878788
268	0.1015366822
269	0.1014253794
270	0.1013510683
271	0.1012917697
272	0.1012102214
273	0.1011732479
274	0.1011068516
275	0.1010001757
276	0.1009118289
277	0.1008186037
278	0.1007759927
279	0.1007166509
